Status,Cloacimonadaceae_W5___Paenibacillaceae_Paenibacillus,Halomonadaceae_g.___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Yersiniaceae_g.,Comamonadaceae_Diaphorobacter___Paenibacillaceae_Paenibacillus,Comamonadaceae_g.___Paenibacillaceae_Paenibacillus,Actinomycetaceae_Actinomyces___Paenibacillaceae_Paenibacillus,Erwiniaceae_Pantoea___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Pseudomonadaceae_Pseudomonas,Lactobacillaceae_Lactobacillus___Paenibacillaceae_Paenibacillus,Chroococcidiopsaceae_Chroococcidiopsis___Paenibacillaceae_Paenibacillus,Micrococcaceae_Rothia___Paenibacillaceae_Paenibacillus,Beijerinckiaceae_Psychroglaciecola___Paenibacillaceae_Paenibacillus
pos,-4.147577032103487,-8.921741904540076,8.921741904540076,-5.781707557127959,-8.921741904540076,-8.921741904540076,-7.861149098807794,3.1426502275127,-4.770106645449479,-2.2608770005212584,-7.45568399069963,-2.6434996353272124
pos,-8.569913920693432,-5.622813412122534,8.569913920693432,-8.569913920693432,-5.195369397295594,-8.569913920693432,-4.236519051002643,8.569913920693432,-5.239821159866428,-8.569913920693432,-8.569913920693432,-4.082368371175385
pos,-9.661125478787401,-9.661125478787401,9.661125478787401,-9.661125478787401,-9.661125478787401,-9.661125478787401,-9.661125478787401,5.901299644219948,-7.823112241696201,-9.661125478787401,-9.661125478787401,-9.661125478787401
pos,-11.096890946918975,-11.096890946918975,11.096890946918975,-11.096890946918975,-11.096890946918975,-11.096890946918975,-11.096890946918975,7.150466514773496,-11.096890946918975,-11.096890946918975,-9.01744940523914,-8.372311443865554
pos,-6.742728058172231,-6.742728058172231,6.742728058172231,-1.35314215380299,-6.742728058172231,-6.742728058172231,0.681847625306012,-1.3606884102147199,-6.742728058172231,-0.3777625055588284,-6.742728058172231,0.8773396452897116
pos,0,0,-5.596081709787825,0,0,0,0,-8.880667244684059,4.076255956043411,0,5.020717564884263,6.443379570175028
neg,0,0,0,5.94095297839779,0,0,0,-8.815646923574725,3.820689442197699,0,0,0
neg,0,0,-6.113768213496028,0,0,0,0,-7.262390922738799,0,0,0,4.935113217154382
neg,0,0,0,0,0,0,0,-9.146289340175166,0,0,0,0
pos,0,0,0,0,0,0,0,-8.214718888230127,0,0,0,0
pos,0,0,0,0,0,0,0,-8.447589181799593,5.624228134186389,0,0,0
pos,0,0,0,0,0,0,0,-9.092827393309072,0,0,0,8.103187510615191
pos,-5.507444181544448,-5.507444181544448,5.507444181544448,-5.507444181544448,-5.507444181544448,-5.507444181544448,0.19611487892629037,1.6964492894237302,-1.8971199848858813,-5.507444181544448,-5.507444181544448,-1.8971199848858813
neg,0,6.868293930044797,0,0,0,0,6.8240606750679715,-9.093437097065364,4.015662500131479,0,0,6.3982903007990615
neg,0,0,-6.430970900011921,0,0,0,0,-2.7933847402855356,4.702927245169974,0,0,6.243372286117123
pos,0,0,0,0,0,0,0,0,0,0,0,0
pos,-8.254207670420676,-8.254207670420676,8.254207670420676,-8.254207670420676,-8.254207670420676,-8.254207670420676,-8.254207670420676,3.2020687065518194,-8.254207670420676,-8.254207670420676,-8.254207670420676,-8.254207670420676
pos,0,8.602097865302294,0,0,0,0,0,-6.410178340195768,0,0,0,8.342389644892918
neg,0,0,0,7.001357863444009,0,0,0,0,0,0,0,0
neg,0,8.74793715586875,0,7.058831840700778,6.746457155658626,0,0,-7.564767479172577,0,0,0,0
pos,-8.906135091483604,-8.906135091483604,8.906135091483604,-3.27399512408928,-8.906135091483604,-3.5898480735077576,-8.906135091483604,3.3839960193036087,-8.906135091483604,-8.906135091483604,-8.906135091483604,-8.906135091483604
neg,0,0,0,0,0,0,0,0,0,0,0,5.936274979688156
pos,0,0,0,0,0,0,6.081443219936798,-8.369164290298695,3.0691816444315965,0,0,0
neg,0,0,0,6.624425501262968,0,0,0,-4.666680894560652,0,0,0,7.98690921368914
neg,0,0,0,6.8477893161127295,0,0,0,0,4.5834254359388815,0,0,6.354131495969105
pos,0,0,0,0,0,0,0,0,0,0,0,0
pos,-8.044093371199365,-8.044093371199365,8.044093371199365,-8.044093371199365,-8.044093371199365,-8.044093371199365,-8.044093371199365,8.044093371199365,-8.044093371199365,-8.044093371199365,-8.044093371199365,-8.044093371199365
pos,0,0,0,3.9953953523850867,0,0,0,-7.880389685425314,0,0,0,4.149546032212345
pos,-8.639526750586674,-8.639526750586674,8.639526750586674,-8.639526750586674,-8.639526750586674,-8.639526750586674,-8.639526750586674,8.639526750586674,-8.639526750586674,-8.639526750586674,-8.639526750586674,-8.639526750586674
neg,0,0,0,8.23114990332123,0,0,0,0,5.917514974140599,0,0,0
pos,-2.967577131628566,-2.967577131628566,-2.169053700369523,-2.967577131628566,-2.967577131628566,-2.967577131628566,-2.967577131628566,-0.5596157879354228,-2.967577131628566,-2.967577131628566,4.334017415487521,-2.967577131628566
pos,-11.073476972568276,-11.073476972568276,11.073476972568276,-11.073476972568276,-11.073476972568276,-8.349525840593895,-11.073476972568276,8.144081866379086,-11.073476972568276,-7.729138014316378,-7.817866129925062,-7.638986917322081
